CitizenshipId;CitizenshipText;
4;Афганистан;
8;Албания;
10;Антарктида;
12;Алжир;
16;Американское Самоа;
20;Андорра;
24;Ангола;
28;Антигуа И Барбуда;
31;Азербайджан;
32;Аргентина;
36;Австралия;
40;Австрия;
44;Багамы;
48;Бахрейн;
50;Бангладеш;
51;Армения;
52;Барбадос;
56;Бельгия;
60;Бермуды;
64;Бутан;
68;Боливия;
70;Босния И Герцеговина;
72;Ботсвана;
74;Остров Буве;
76;Бразилия;
84;Белиз;
86;Британская Территория В Индийском Океане;
90;Соломоновы Острова;
92;Виргинские Острова; Британские
96;Бруней-Даруссалам;
100;Болгария;
104;Мьянма;
108;Бурунди;
112;Беларусь;
116;Камбоджа;
120;Камерун;
124;Канада;
132;Кабо-Верде;
136;Острова Кайман;
140;Центрально-Африканская Республика;
144;Шри-Ланка;
148;Чад;
152;Чили;
156;Китай;
158;Тайвань (Китай);
162;Остров Рождества;
166;Кокосовые (Килинг) Острова;
170;Колумбия;
174;Коморы;
175;Майотта;
178;Конго;
180;Конго; Демократическая Республика
184;Острова Кука;
188;Коста-Рика;
191;Хорватия;
192;Куба;
196;Кипр;
203;Чешская Республика;
204;Бенин;
208;Дания;
212;Доминика;
214;Доминиканская Республика;
218;Эквадор;
222;Эль-Сальвадор;
226;Экваториальная Гвинея;
231;Эфиопия;
232;Эритрея;
233;Эстония;
234;Фарерские Острова;
238;Фолклендские Острова (Мальвинские);
239;Южная Джорджия И Южные Сандвичевы Острова;
242;Фиджи;
246;Финляндия;
248;Эландские Острова;
250;Франция;
254;Французская Гвиана;
258;Французская Полинезия;
260;Французские Южные Территории;
262;Джибути;
266;Габон;
268;Грузия;
270;Гамбия;
275;Палестинская Территория; Оккупированная
276;Германия;
288;Гана;
292;Гибралтар;
296;Кирибати;
300;Греция;
304;Гренландия;
308;Гренада;
312;Гваделупа;
316;Гуам;
320;Гватемала;
324;Гвинея;
328;Гайана;
332;Гаити;
334;Остров Херд И Острова Макдональд;
336;Папский Престол (Государство - Город Ватикан);
340;Гондурас;
344;Гонконг;
348;Венгрия;
352;Исландия;
356;Индия;
360;Индонезия;
364;Иран; Исламская Республика
368;Ирак;
372;Ирландия;
376;Израиль;
380;Италия;
384;Кот Д Ивуар;
388;Ямайка;
392;Япония;
398;Казахстан;
400;Иордания;
404;Кения;
408;Корея; Народно-Демократическая Республика
410;Корея; Республика
414;Кувейт;
417;Киргизия;
418;Лаосская Народно-Демократическая Республика;
422;Ливан;
426;Лесото;
428;Латвия;
430;Либерия;
434;Ливийская Арабская Джамахирия;
438;Лихтенштейн;
440;Литва;
442;Люксембург;
446;Макао;
450;Мадагаскар;
454;Малави;
458;Малайзия;
462;Мальдивы;
466;Мали;
470;Мальта;
474;Мартиника;
478;Мавритания;
480;Маврикий;
484;Мексика;
492;Монако;
496;Монголия;
498;Молдова; Республика
499;Черногория;
500;Монтсеррат;
504;Марокко;
508;Мозамбик;
512;Оман;
516;Намибия;
520;Науру;
524;Непал;
528;Нидерланды;
530;Нидерландские Антилы;
533;Аруба;
540;Новая Каледония;
548;Вануату;
554;Новая Зеландия;
558;Никарагуа;
562;Нигер;
566;Нигерия;
570;Ниуэ;
574;Остров Норфолк;
578;Норвегия;
580;Северные Марианские Острова;
581;Малые Тихоокеанские Отдаленные Острова Соединенных Штатов;
583;Микронезия; Федеративные Штаты
584;Маршалловы Острова;
585;Палау;
586;Пакистан;
591;Панама;
598;Папуа-Новая Гвинея;
600;Парагвай;
604;Перу;
608;Филиппины;
612;Питкерн;
616;Польша;
620;Португалия;
624;Гвинея-Бисау;
626;Тимор-Лесте;
630;Пуэрто-Рико;
634;Катар;
638;Реюньон;
642;Румыния;
643;Российская Федерация;
646;Руанда;
654;Святая Елена;
659;Сент-Китс И Невис;
660;Ангилья;
662;Сент-Люсия;
666;Сент-Пьер И Микелон;
670;Сент-Винсент И Гренадины;
674;Сан-Марино;
678;Сан-Томе И Принсипи;
682;Саудовская Аравия;
686;Сенегал;
688;Сербия;
690;Сейшелы;
694;Сьерра-Леоне;
702;Сингапур;
703;Словакия;
704;Вьетнам;
705;Словения;
706;Сомали;
710;Южная Африка;
716;Зимбабве;
724;Испания;
732;Западная Сахара;
736;Судан;
740;Суринам;
744;Шпицберген И Ян Майен;
748;Свазиленд;
752;Швеция;
756;Швейцария;
760;Сирийская Арабская Республика;
762;Таджикистан;
764;Таиланд;
768;Того;
772;Токелау;
776;Тонга;
780;Тринидад И Тобаго;
784;Объединенные Арабские Эмираты;
788;Тунис;
792;Турция;
795;Туркмения;
796;Острова Теркс И Кайкос;
798;Тувалу;
800;Уганда;
804;Украина;
807;Республика Македония;
818;Египет;
826;Соединенное Королевство;
831;Гернси;
832;Джерси;
833;Остров Мэн;
834;Танзания; Объединенная Республика
840;Соединенные Штаты;
850;Виргинские Острова; Сша
854;Буркина-Фасо;
858;Уругвай;
860;Узбекистан;
862;Венесуэла;
876;Уоллис И Футуна;
882;Самоа;
887;Йемен;
894;Замбия;
895;Абхазия;
896;Южная Осетия;