Направление/профиль;;
Экономика;;
Менеджмент;;
Менеджмент;" профиль подготовки ""Международный менеджмент (с изучением двух иностранных языков)""";
Государственное и муниципальное управление ;;
Зарубежное регионоведение;" профиль подготовки ""Азиатские исследования (Восточная Азия Китай)”";
Зарубежное регионоведение;" профиль подготовки ""Азиатские исследования (Восточная Азия Япония)”";
Международные отношения;;
Международные отношения (арабский и английский языки);;
Реклама и связи с общественностью (английский язык как основной);;
Реклама и связи с общественностью (немецкий язык как основной);;
Журналистика;" профиль подготовки ""Международная журналистика""";
Туризм (английский язык как основной);;
Туризм (немецкий язык как основной);;
Педагогическое образование;" профиль подготовки ""Иностранный язык""";
Педагогическое образование;" профили подготовки ""Английский язык"" и ""Итальянский язык""";
Педагогическое образование;" профили подготовки ""Анлийский язык"" и ""Русский язык как иностранный""";
Педагогическое образование;" профили подготовки ""Французский язык"" и ""Русский язык""";
Филология;" профиль подготовки ""Преподавание филологических дисциплин""";
Филология;" профиль подготовки ""Прикладная филология: РКИ с двумя иностранными языками (арабский и английский языки)""";
Филология;" профиль подготовки ""Прикладная филология: РКИ с двумя иностранными языками (ипанский и английский языки)""";
Филология;" профиль подготовки ""Прикладная филология (на английском языке)""";
Лингвистика;" профиль подготовки ""Теория и методика преподавания иностранных языков и культур (английский язык как основной)""";
Лингвистика;" профиль подготовки ""Теория и методика преподавания ностранных языков и культур (немецкий язык как основной)""";
Лингвистика;" профиль подготовки ""Теория и методика преподавания иностранных языков и культур (французский язык как основной)""";
Лингвистика;" профиль подготовки ""Теория и методика преподавания иностранных языков и культур (испанский язык как основной)""";
Лингвистика;" профиль подготовки ""Теория и практика межкультурной коммуникации (английский и китайский языки)""";
Лингвистика;" профиль подготовки ""Теория и практика межкультурной коммуникации (английский язык)""";
Лингвистика;" профиль подготовки ""Перевод и переводоведение (английский язык как основной)""";
Лингвистика;" профиль подготовки ""Перевод и переводоведение (немецкий язык как основной)""";
Лингвистика;" профиль подготовки ""Перевод и переводоведение (французский язык как основной)""";
Лингвистика;" профиль подготовки ""Юридическая и экономическая лингвистика и перевод (английский язык как основной)"" ";
Перевод и переводоведение (английский язык как основной);;
Перевод и переводоведение (немецкий язык как основной);;
Перевод и переводоведение (французский языка как основной);;
Менеджмент;" магистерсая программа ""Международный менеджмент. Международная англоязычная магистратура""";
Государственное и муниципальное управлени;" магистерская программа ""Project Management""";
Финансы и кредит;" магистерская программа ""Финансы в международных экономических отношениях""";
Финансы и кредит;" магистерская программа ""Финансово-экономическая деятельность предприятия""";
Международные отношения;" магистерская программа ""Внешняя политика и дипломатия России""";
Международные отношения;" магистерская прогграмма ""Евразийские исследованя (китайский и английский языки)""";
Международные отношения;" магистерская программа ""Ближневосточные исследования (арабские и английский языки)""";
Международные отношения;" магистерская программа ""Проблемы межнационального и религиозного диалога в современном мире""";
Международные отношения;" магистерская программа ""Международные отношения в контексте реализации доктрины информационной безопасности""";
Реклама и связи с общественностью;" магистерская программа ""Реклама и связи с общественностью в сфере бизнеса""";
Реклама и связи с общественностью;" магистерская программа ""Технологии event-сервиса (на английском языке)""";
Журналистика;" магистерская программа ""Проектирование и сопровождение медиапроцессов на международном уровне""";
Журналистика;" магистерская программа ""Управление цифровыми базами в международной журналистике""";
Пелагогическое образование;" магистерская программа ""Организация иноязычного лингвистического образования""";
Педагогическое образование;" магистерская программа ""Инновационные технологии в лингвистическом образовании""";
Педагогическое образование;" магистерская прграмма ""Методика подготовки переводчиков для международных организаций""";
Педагогическое образование;" магистерская программа ""Китайский язык и методика его преподавания""";
Педагогическое образование;" магистерская программа ""Educational Development and Cross-Cultural Communication (на английском языке)""";
Филология;" магистерская программа ""Русский язык как иностранный""";
Филология;" магистерская программа ""Технологии обучения русскому языку как иностранному""";
Филология;" магистерская программа ""Всемирная литература: практика работы с текстом""";
Филология;" магистерская программа ""Юридическая лингвистика""";
Лингвистика;" магистерская программа ""Устный перевод (английский язык)""";
Лингвистика;" магистерская программа ""Синхронный перевод на международных мероприятиях""";
Лингвистика;" магистерская программа ""Современная лингвистика и межкультурная коммуникация""";
Лингвистика;" магистерская программа ""Лингвистическое сопровождение экспортной деятельности (на английском языке)""";
Лингвистика;" магистерская программа ""Международные коммуникации в индустрии туризма: подготовка гидов-экскурсоводов со знанием двух иностранных языков""";
Лингвистика;" магистерская программа ""Иностранные языки и сопоставительное изучение лингвокультур""";
Лингвистика;" магистерская программа ""Специальный письменный перевод (немецкий язык)""";
Лингвистика;" магистерская программа ""Специальный письменный перевод (французский язык)""";
Лингвистика;" магистерская программа ""Cognitive linguistics""";
Политичекие науки и регионоведение;" профиль подготовки ""Политические институты";" процессы и технологии"""
Образование и педагогические науки;" профиль подготовки ""Общая педагогика";" история педагогики и образования"""
Образование и педагогические науки;" профиль подготовки ""Теория и методика обучения и воспитания (иностранные языки)""";
Языкознание и литературоведение;" профиль подготовки ""Литература народов стран зарубежья (Западной Европы и Америки)""";
Языкознание и литературоведение;" профиль подготовки ""Русский язык""";
Языкознание и литературоведение;" профиль подготовки ""Германские языки""";
Языкознание и литературоведение;" профиль подготовки ""Романские языки""";
Языкознание и литературоведение;" профиль подготовки ""Сравнительно-иторическое";" типологическое сопоставительное языкознание"""
Историяческие науки и археология;" профиль подготовки ""Всеобщая истоия (соответствующего периода)""";
Философия; этика и религиоведение;" профиль подготовки ""Социальная философия"""
Информатика и вычислительная техника;" профиль подготовки ""Теоретические основы информатики""";
Психологические науки;" профиль подготовки ""Педагогическая психология""";
Политические науки и регионоведение;" профиль подготовки ""Политические проблемы международных отношений";" глобального и регионального развития"""
Образование и педагогические науки;" профиль подготовки ""Теория и методика профессионального образования""";
Языкознание и литературоведение;" профиль подготовки ""Русская литература""";
Языкознание и литературоведение;" профиль подготовки ""Теория языка""";
Философия; этика и религиоведение;" профиль подготовки ""История философии"""